Gene,Mean_Difference,Log_P_Value,P_Value,Significant
RP11-95I16.2,-1.9540411044070898,3.3604914120073586,0.00043602218607242195,True
OR2A1-AS1,-1.9496162141223046,3.8661921914958373,0.00013608423257408843,True
CMPK1,-1.9373094864505611,4.77444345419156,1.680956774614503e-05,True
YWHAE,-1.9282741707692157,3.4449904280174257,0.000358929845480874,True
ATP5L,-1.9267321735623457,4.288065137492718,5.151513740042703e-05,True
TAF13,-1.9251340021048007,4.57110865299077,2.6846727028147293e-05,True
NXT2,-1.9231450708998852,3.3391720532680984,0.0004579604218322884,True
LSM4,-1.921697383989263,2.899336982480995,0.0012608488234503597,True
AGFG1,-1.9195711187183866,2.936538187918836,0.0011573422614334717,True
AC004381.6,-1.9171717777957173,4.499999786813092,3.162279212470769e-05,True
CRYZL1,-1.9168441940675964,2.795337229175205,0.0016020009556667566,True
UBL5,-1.9146283449873938,2.942073213940034,0.0011426856830827792,True
CNTROB,-1.9141654034925035,2.2011789251980636,0.006292468857117052,True
ATP5I,-1.9118982458711606,4.339397186002252,4.5772308249812416e-05,True
WDR17,-1.910726785389186,4.032129753888897,9.28688881534595e-05,True
UFL1,-1.910289126931886,3.873546822718198,0.00013379909541668452,True
IBTK,-1.9094427016495787,4.465233551444763,3.425835051577153e-05,True
UGP2,-1.906363376203052,2.9016793188501193,0.0012540668306234312,True
SNRNP27,-1.9053357833903948,2.84028559723618,0.0014444895447703352,True
TOR1AIP1,-1.9034885277040967,3.1019232106120063,0.0007908184434902099,True
HMGN2,-1.9031143833634425,4.400479956495417,3.9766744914940805e-05,True
ARL6,-1.9030370602094608,4.105314268734777,7.846676196933731e-05,True
COX17,-1.9025567099420013,2.3049337084550867,0.004955258230468977,True
PARP3,-1.9020587899922146,3.2093774466776295,0.0006174795135120475,True
PTPN12,-1.9019985661530194,3.4531163657054234,0.00035227646875590925,True
CMAS,-1.9009028010488978,2.807395511295917,0.0015581328673639407,True
POLI,-1.9002276174017276,4.3658675841880745,4.3065789749823706e-05,True
ATP5J2,-1.8996602322376295,2.881399612792523,0.0013140151945857704,True
NDUFS2,-1.8992827212143752,3.2397380663978264,0.0005757871038903283,True
CNOT10,-1.8989275740572518,3.0381547931326254,0.0009158939850111251,True
SYNCRIP,-1.8989190263881301,4.248182506159704,5.6469961785527696e-05,True
NUDT19,-1.898274642715545,3.260609025542371,0.0005487707745751865,True
NPTN,-1.8976779681665745,2.292000199553169,0.005105047654044613,True
COX8A,-1.8949150628634341,3.0757548109812975,0.0008399340530604197,True
ARHGAP10,-1.8946687809793645,3.24229435732316,0.0005724079312356211,True
SPATA6,-1.894468487818005,4.292193021229456,5.1027815756197216e-05,True
SEC63,-1.8938488614676952,3.996245171995921,0.00010086832939584598,True
S100A6,-1.8915746775014781,3.944750871731373,0.00011356620889642983,True
NDUFA1,-1.8911785557915803,2.6615966670183515,0.0021797331693809425,True
CSTF2T,-1.8910186797128434,3.764802225066525,0.0001718690889825664,True
PCBP1,-1.890923056692304,2.5944702575433833,0.002544074016895652,True
DUT,-1.8899075513974042,4.225406142938183,5.95105353384541e-05,True
SAPCD1-AS1,-1.8897876937563405,2.3796988303756077,0.004171585695937579,True
ARL2,-1.8897605440861605,4.12875526687814,7.434379611743373e-05,True
CCDC124,-1.8893591583810512,2.7425508413643884,0.0018090441192712926,True
AP3S1,-1.8881733517741095,4.207221307367677,6.205527329771341e-05,True
ACSL3,-1.8855232294703983,4.1019709353890805,7.907315449412997e-05,True
C1orf123,-1.884723150156343,4.1839412904089786,6.547246762738527e-05,True
PROS1,-1.88326197742593,4.060993966729705,8.689725010711845e-05,True
PET100,-1.8832344856173573,4.065100174210533,8.607951785746814e-05,True
